st,year,ind_limits_2010,ind2pty_limits_2010,pty_limits_2010,pac_limits_2010,total_limits_2010
US,1994,NA,NA,NA,NA,NA
US,1993,NA,NA,NA,NA,NA
US,1992,NA,NA,NA,NA,NA
US,1991,NA,NA,NA,NA,NA
US,1990,NA,NA,NA,NA,NA
UT,2012,99999,99999,99999,99999,99999
UT,2011,99999,99999,99999,99999,99999
UT,2010,99999,99999,99999,99999,99999
UT,2009,99999,99999,99999,99999,99999
UT,2008,99999,99999,99999,99999,99999
UT,2007,99999,99999,99999,99999,99999
UT,2006,99999,99999,99999,99999,99999
UT,2005,99999,99999,99999,99999,99999
UT,2004,99999,99999,99999,99999,99999
UT,2003,99999,99999,99999,99999,99999
UT,2002,99999,99999,99999,99999,99999
UT,2001,99999,99999,99999,99999,99999
UT,2000,99999,99999,99999,99999,99999
UT,1999,99999,99999,99999,99999,99999
UT,1998,99999,99999,99999,99999,99999
UT,1997,99999,99999,99999,99999,99999
UT,1996,99999,99999,99999,99999,99999
UT,1995,99999,99999,99999,99999,99999
UT,1994,99999,99999,99999,99999,99999
UT,1993,99999,99999,99999,99999,99999
UT,1992,99999,99999,99999,99999,99999
UT,1991,99999,99999,99999,99999,99999
UT,1990,99999,99999,99999,99999,99999
VA,2012,99999,99999,99999,99999,99999
VA,2011,99999,99999,99999,99999,99999
VA,2010,99999,99999,99999,99999,99999
VA,2009,99999,99999,99999,99999,99999
VA,2008,99999,99999,99999,99999,99999
VA,2007,99999,99999,99999,99999,99999
VA,2006,99999,99999,99999,99999,99999
VA,2005,99999,99999,99999,99999,99999
VA,2004,99999,99999,99999,99999,99999
VA,2003,99999,99999,99999,99999,99999
VA,2002,99999,99999,99999,99999,99999
VA,2001,99999,99999,99999,99999,99999
VA,2000,99999,99999,99999,99999,99999
VA,1999,99999,99999,99999,99999,99999
VA,1998,99999,99999,99999,99999,99999
VA,1997,99999,99999,99999,99999,99999
VA,1996,99999,99999,99999,99999,99999
VA,1995,99999,99999,99999,99999,99999
VA,1994,99999,99999,99999,99999,99999
VA,1993,99999,99999,99999,99999,99999
VA,1992,99999,99999,99999,99999,99999
VA,1991,99999,99999,99999,99999,99999
VA,1990,99999,99999,99999,99999,99999
VT,2012,1909,1909,99999,5727,99999
VT,2011,1939,1939,99999,5816,99999
VT,2010,2000,2000,99999,6000,99999
VT,2009,2033,2033,99999,6098,99999
VT,2008,2026,2026,99999,6077,99999
VT,2007,2103,2103,99999,6310,99999
VT,2006,2163,2163,99999,6490,99999
VT,2005,223,2233,99999,223,99999
VT,2004,231,2309,99999,231,99999
VT,2003,237,2371,99999,237,99999
VT,2002,242,2424,99999,242,99999
VT,2001,246,2463,246,246,99999
VT,2000,253,2533,253,253,99999
VT,1999,262,2618,262,262,99999
VT,1998,2676,99999,99999,8027,99999
VT,1997,2717,99999,99999,8152,99999
VT,1996,2780,99999,99999,8339,99999
VT,1995,2862,99999,99999,8585,99999
VT,1994,2943,99999,99999,8828,99999
VT,1993,3018,99999,99999,9054,99999
VT,1992,3108,99999,99999,9325,99999
VT,1991,3202,99999,99999,9606,99999
VT,1990,3337,99999,99999,10010,99999
WA,2012,1718,99999,63119,1718,99999
WA,2011,1551,99999,56982,1551,99999
WA,2010,1600,99999,58780,1400,99999
WA,2009,1626,99999,52276,1423,99999
WA,2008,1418,99999,52090,1418,99999
WA,2007,1472,99999,54090,1472,99999
WA,2006,1514,99999,55631,1514,99999
WA,2005,1451,99999,52503,1451,99999
WA,2004,1501,99999,54282,1501,99999
WA,2003,1482,99999,55740,1482,99999
WA,2002,1515,99999,57004,1515,99999
WA,2001,1478,99999,54280,1478,99999
WA,2000,1520,99999,55825,1520,99999
WA,1999,1505,99999,55778,1505,99999
WA,1998,1538,99999,57010,1538,99999
WA,1997,1359,99999,49912,1359,99999
WA,1996,1390,99999,51057,1390,99999
WA,1995,1431,99999,52565,1431,99999
WA,1994,1471,99999,54054,1471,99999
WA,1993,1509,99999,55438,1509,99999
WA,1992,99999,99999,99999,99999,99999
WA,1991,99999,99999,99999,99999,99999
WA,1990,99999,99999,99999,99999,99999
WI,2012,477,19090,10702,477,19090
WI,2011,485,19388,10869,485,19388
WI,2010,500,20000,11213,500,20000
WI,2009,508,20328,11396,508,20328
WI,2008,506,20256,11356,506,20256
WI,2007,526,21033,11792,526,21033
WI,2006,541,21633,12128,541,21633
WI,2005,558,22330,36287,558,22330
WI,2004,577,23087,37516,577,23087
WI,2003,593,23707,38524,593,23707
WI,2002,606,24245,13592,606,24245
WI,2001,616,24625,13805,616,24625
WI,2000,633,25326,14198,633,25326
WI,1999,654,26177,14676,654,26177
WI,1998,669,26755,15000,669,26755
WI,1997,679,27172,15233,679,27172
WI,1996,695,27796,15583,695,27796
WI,1995,715,28616,16043,715,28616
WI,1994,736,29427,16498,736,29427
WI,1993,755,30181,16920,755,30181
WI,1992,777,31084,17427,777,31084
WI,1991,800,32020,17951,800,32020
WI,1990,834,33367,18707,834,33367
WV,2012,1909,1909,1909,1909,99999
WV,2011,1939,1939,1939,1939,99999
WV,2010,2000,2000,2000,2000,99999
WV,2009,2033,2033,2033,2033,99999
WV,2008,2026,2026,2026,2026,99999
WV,2007,2103,2103,2103,2103,99999
WV,2006,2163,2163,2163,2163,99999
WV,2005,2233,2233,2233,2233,99999
WV,2004,2309,2309,2309,2309,99999
WV,2003,2371,2371,2371,2371,99999
WV,2002,2424,2424,2424,2424,99999
WV,2001,2463,2463,2463,2463,99999
WV,2000,2533,2533,2533,2533,99999
WV,1999,2618,2618,2618,2618,99999
WV,1998,2676,2676,2676,2676,99999
WV,1997,2717,2717,2717,2717,99999
WV,1996,2780,2780,2780,2780,99999
WV,1995,2862,2862,2862,2862,99999
WV,1994,2943,99999,2943,2943,99999
WV,1993,3018,99999,3018,3018,99999
WV,1992,3108,99999,3108,3108,99999
WV,1991,3202,99999,3202,3202,99999
WV,1990,3337,99999,3337,3337,99999
WY,2012,1909,23862,99999,99999,23862
WY,2011,1939,24235,99999,99999,24235
WY,2010,2000,25000,99999,99999,25000
WY,2009,2033,25410,99999,99999,25410
WY,2008,2026,25320,99999,99999,25320
WY,2007,2103,26292,99999,99999,26292
WY,2006,2163,27041,99999,99999,27041
WY,2005,2233,27913,99999,99999,27913
WY,2004,2309,28859,99999,99999,28859
WY,2003,2371,29634,99999,99999,29634
WY,2002,2424,30306,99999,99999,30306
WY,2001,2463,30781,99999,99999,30781
WY,2000,2533,31657,99999,99999,31657
WY,1999,2618,32721,99999,99999,32721
WY,1998,2676,33444,99999,99999,33444
WY,1997,2717,33965,99999,99999,33965
WY,1996,2780,34744,99999,99999,34744
WY,1995,2862,35770,99999,99999,35770
WY,1994,2943,36784,99999,99999,36784
WY,1993,3018,37726,99999,99999,37726
WY,1992,3108,38855,99999,99999,38855
WY,1991,3202,40025,99999,99999,40025
WY,1990,3337,41709,99999,99999,41709
