State,Year,Corrupt* or Fraud* or Bribe*,Politic*,CRI
West Virginia,2005,26,81,0.320988
West Virginia,2006,19,83,0.228916
West Virginia,2007,38,78,0.487179
West Virginia,2008,31,249,0.124498
West Virginia,2009,26,44,0.590909
West Virginia,2010,14,133,0.105263
West Virginia,2011,13,66,0.19697
West Virginia,2012,26,65,0.4
West Virginia,2013,18,111,0.162162
Wisconsin,1977,11,36,0.305556
Wisconsin,1978,12,33,0.363636
Wisconsin,1979,17,131,0.129771
Wisconsin,1980,15,443,0.03386
Wisconsin,1981,17,67,0.253731
Wisconsin,1982,53,146,0.363014
Wisconsin,1983,30,109,0.275229
Wisconsin,1984,21,236,0.088983
Wisconsin,1985,25,110,0.227273
Wisconsin,1986,32,213,0.150235
Wisconsin,1987,25,152,0.164474
Wisconsin,1988,34,456,0.074561
Wisconsin,1989,24,113,0.212389
Wisconsin,1990,41,192,0.213542
Wisconsin,1991,25,144,0.173611
Wisconsin,1992,46,442,0.104072
Wisconsin,1993,34,147,0.231293
Wisconsin,1994,7,21,0.333333
Wisconsin,1995,21,92,0.228261
Wisconsin,1996,61,383,0.159269
Wisconsin,1997,37,108,0.342593
Wisconsin,1998,56,212,0.264151
Wisconsin,1999,47,150,0.313333
Wisconsin,2000,71,478,0.148536
Wisconsin,2001,11,44,0.25
Wisconsin,2002,66,273,0.241758
Wisconsin,2003,55,180,0.305556
Wisconsin,2004,62,668,0.092814
Wisconsin,2005,51,130,0.392308
Wisconsin,2006,46,182,0.252747
Wisconsin,2007,58,176,0.329545
Wisconsin,2008,55,359,0.153203
Wisconsin,2009,34,81,0.419753
Wisconsin,2010,26,208,0.125
Wisconsin,2011,33,432,0.076389
Wisconsin,2012,30,527,0.056926
Wisconsin,2013,21,123,0.170732
Wyoming,1977,4,13,0.307692
Wyoming,1978,7,16,0.4375
Wyoming,1979,5,24,0.208333
Wyoming,1980,16,41,0.390244
Wyoming,1981,13,19,0.684211
Wyoming,1982,7,81,0.08642
Wyoming,1983,11,54,0.203704
Wyoming,1984,5,84,0.059524
Wyoming,1985,4,37,0.108108
Wyoming,1986,9,50,0.18
Wyoming,1987,6,35,0.171429
Wyoming,1988,5,134,0.037313
Wyoming,1989,6,87,0.068966
Wyoming,1990,16,79,0.202532
Wyoming,1991,3,23,0.130435
Wyoming,1992,7,99,0.070707
Wyoming,1993,8,29,0.275862
Wyoming,1994,0,8,0
Wyoming,1995,4,36,0.111111
Wyoming,1996,8,140,0.057143
Wyoming,1997,2,31,0.064516
Wyoming,1998,14,65,0.215385
Wyoming,1999,7,52,0.134615
Wyoming,2000,3,162,0.018519
Wyoming,2001,3,6,0.5
Wyoming,2002,9,60,0.15
Wyoming,2003,2,47,0.042553
Wyoming,2004,6,88,0.068182
Wyoming,2005,3,58,0.051724
Wyoming,2006,19,82,0.231707
Wyoming,2007,10,73,0.136986
Wyoming,2008,11,87,0.126437
Wyoming,2009,7,73,0.09589
Wyoming,2010,5,44,0.113636
Wyoming,2011,4,42,0.095238
Wyoming,2012,4,44,0.090909
Wyoming,2013,11,61,0.180328
