""	"cycle"	"bonica_rid"	"recipient_name"	"share.ind"	"share.group"	"recipient_state"	"recipient_party"	"np_score"	"candidate_cfscore"	"state.party"	"total.raised"
"43068"	2004	"cand113080"	"ABBITT JR, WATKINS M"	0.111290659825069	0.784623003256413	"VA"		0.513	0.489648829710342	"VA-NA"	102299.69
"43069"	2006	"cand113080"	"ABBITT JR, WATKINS M"	0.0175785827755931	0.959634365478268	"VA"		0.513	0.489648829710342	"VA-NA"	76798
"43070"	2008	"cand113080"	"ABBITT JR, WATKINS M"	0.213271969767321	0.720592705073431	"VA"		0.513	0.489648829710342	"VA-NA"	235075.43
"43071"	2010	"cand113080"	"ABBITT JR, WATKINS M"	0.00332430054389546	0.946892437202965	"VA"		0.513	0.489648829710342	"VA-NA"	75203.79
"43072"	2002	"cand113089"	"INGRAM, RILEY EDWARD"	0.104203903624794	0.891327661399871	"VA"	200	0.541	0.372545522073844	"VA-200"	55948
"43073"	2004	"cand113089"	"INGRAM, RILEY EDWARD"	0.0811516036805374	0.897312009188859	"VA"	200	0.541	0.372545522073844	"VA-200"	80097
"43074"	2006	"cand113089"	"INGRAM, RILEY EDWARD"	0.0574589464947763	0.853351493197905	"VA"	200	0.541	0.372545522073844	"VA-200"	98679.15
"43075"	2008	"cand113089"	"INGRAM, RILEY EDWARD"	0.155483355401893	0.778572175493477	"VA"	200	0.541	0.372545522073844	"VA-200"	116764.91
"43076"	2010	"cand113089"	"INGRAM, RILEY EDWARD"	0.111589674088178	0.868615127950635	"VA"	200	0.541	0.372545522073844	"VA-200"	108612.2
"43077"	2012	"cand113089"	"INGRAM, RILEY EDWARD"	0.0964525972465576	0.903547402753442	"VA"	200	0.541	0.372545522073844	"VA-200"	99375.24
"43078"	2002	"cand113090"	"JOHNSON JR, JOSEPH P"	0	0.907407407407407	"VA"	100	-0.074	0.180826349148528	"VA-100"	9450
"43079"	2004	"cand113090"	"JOHNSON JR, JOSEPH P"	0.0706713780918728	0.840989399293286	"VA"	100	-0.074	0.180826349148528	"VA-100"	14150
"43080"	2006	"cand113090"	"JOHNSON JR, JOSEPH P"	0.0394088669950739	0.898193760262726	"VA"	100	-0.074	0.180826349148528	"VA-100"	15225
"43081"	2008	"cand113090"	"JOHNSON JR, JOSEPH P"	0.0261096605744125	0.926892950391645	"VA"	100	-0.074	0.180826349148528	"VA-100"	19150
"43082"	2010	"cand113090"	"JOHNSON JR, JOSEPH P"	0	0.964285714285714	"VA"	100	-0.074	0.180826349148528	"VA-100"	21000
"43083"	2012	"cand113090"	"JOHNSON JR, JOSEPH P"	0.0120772946859903	0.963768115942029	"VA"	100	-0.074	0.180826349148528	"VA-100"	20700
"43084"	2002	"cand113091"	"JONES, DWIGHT CLINTON"	0.00774533343660445	0.472465339632871	"VA"	100	-0.994	-0.337762849476762	"VA-100"	64555
"43085"	2004	"cand113091"	"JONES, DWIGHT C"	0.0132075471698113	0.864150943396226	"VA"	100	-0.994	-0.337762849476762	"VA-100"	26500
"43086"	2006	"cand113091"	"JONES, DWIGHT C"	0.019105514546244	0.874077290490664	"VA"	100	-0.994	-0.337762849476762	"VA-100"	57575
"43087"	2008	"cand113091"	"JONES, DWIGHT C"	0.0127055697660295	0.872875184040178	"VA"	100	-0.994	-0.337762849476762	"VA-100"	78705.64
"43088"	2002	"cand113095"	"MORGAN, HARVEY B"	0.229723059624519	0.716584973830256	"VA"	200	0.415	0.368920541575766	"VA-200"	108430.56
"43089"	2004	"cand113095"	"MORGAN, HARVEY B"	0.115024039898249	0.865201991827707	"VA"	200	0.415	0.368920541575766	"VA-200"	103735.88
"43090"	2006	"cand113095"	"MORGAN, HARVEY B"	0.101242089034509	0.890722824534181	"VA"	200	0.415	0.368920541575766	"VA-200"	118231.46
"43091"	2008	"cand113095"	"MORGAN, HARVEY B"	0.148336747417171	0.840927973433762	"VA"	200	0.415	0.368920541575766	"VA-200"	125753.6
"43092"	2010	"cand113095"	"MORGAN, HARVEY B"	0.193969030154849	0.793296658516707	"VA"	200	0.415	0.368920541575766	"VA-200"	98160
"43093"	2002	"cand113097"	"ORROCK, ROBERT D (BOBBY)"	0.0402298850574713	0.92911877394636	"VA"	200	0.541	0.319714649171961	"VA-200"	26100
"43094"	2004	"cand113097"	"ORROCK, ROBERT D (BOBBY)"	0.0444376807183077	0.922081874904885	"VA"	200	0.541	0.319714649171961	"VA-200"	32855
"43095"	2006	"cand113097"	"ORROCK, ROBERT D (BOBBY)"	0.110987783955673	0.568359023483218	"VA"	200	0.541	0.319714649171961	"VA-200"	150241.76
"43096"	2008	"cand113097"	"ORROCK, R D (BOBBY)"	0.105684858392988	0.87360782094794	"VA"	200	0.541	0.319714649171961	"VA-200"	77267.36
"43097"	2010	"cand113097"	"ORROCK, ROBERT D (BOBBY)"	0.0190741957559227	0.964054254232715	"VA"	200	0.541	0.319714649171961	"VA-200"	77052.79
"43098"	2012	"cand113097"	"ORROCK, ROBERT D (BOBBY)"	0.0650105292776065	0.898131023346074	"VA"	200	0.541	0.319714649171961	"VA-200"	146425.05
"43104"	2002	"cand113099"	"PHILLIPS, CLARENCE E (BUD)"	0.0708549499976618	0.602267074980125	"VA"	100	-0.161	-0.0976859598270726	"VA-100"	14113.34
"43105"	2004	"cand113099"	"PHILLIPS, CLARENCE E (BUD)"	0.12	0.789090909090909	"VA"	100	-0.161	-0.0976859598270726	"VA-100"	13750
"43106"	2006	"cand113099"	"PHILLIPS, CLARENCE E (BUD)"	0.155576175582748	0.540290492672985	"VA"	100	-0.161	-0.0976859598270726	"VA-100"	88102.05
"43107"	2008	"cand113099"	"PHILLIPS, CLARENCE E (BUD)"	0.04960029790702	0.860042966576013	"VA"	100	-0.161	-0.0976859598270726	"VA-100"	39314.28
"43108"	2010	"cand113099"	"PHILLIPS, CLARENCE E (BUD)"	0.0527499488857084	0.867117446037912	"VA"	100	-0.161	-0.0976859598270726	"VA-100"	27389.6
"43109"	2002	"cand113100"	"PLUM, KENNETH R"	0.228297504094292	0.690556749687311	"VA"	100	-1.224	-0.526298466872809	"VA-100"	94582.9
"43110"	2004	"cand113100"	"PLUM, KENNETH R (KEN)"	0.172505788488637	0.775389844871202	"VA"	100	-1.224	-0.526298466872809	"VA-100"	81567.06
"43111"	2006	"cand113100"	"PLUM, KENNETH R (KEN)"	0.423246304892149	0.526657553220334	"VA"	100	-1.224	-0.526298466872809	"VA-100"	152207.33
"43112"	2008	"cand113100"	"PLUM, KENNETH R (KEN)"	0.22524256491493	0.733290594305983	"VA"	100	-1.224	-0.526298466872809	"VA-100"	124195.62
"43113"	2010	"cand113100"	"PLUM, KENNETH R (KEN)"	0.274424957674666	0.658403986724009	"VA"	100	-1.224	-0.526298466872809	"VA-100"	212892.59
"43114"	2012	"cand113100"	"PLUM, KENNETH R (KEN)"	0.3499058547452	0.621398053522024	"VA"	100	-1.224	-0.526298466872809	"VA-100"	249162.85
"43115"	2002	"cand113103"	"PURKEY, HARRY R (BOB)"	0.0369685767097967	0.953789279112754	"VA"	200	0.547	0.602387739103965	"VA-200"	27050
"43116"	2004	"cand113103"	"PURKEY, HARRY R (BOB)"	0.0450928381962865	0.95159151193634	"VA"	200	0.547	0.602387739103965	"VA-200"	37700
"43117"	2006	"cand113103"	"PURKEY, HARRY R (BOB)"	0.236074132041636	0.661217688377938	"VA"	200	0.547	0.602387739103965	"VA-200"	161622.96
"43118"	2008	"cand113103"	"PURKEY, HARRY R (BOB)"	0.177636958171276	0.765430654139368	"VA"	200	0.547	0.602387739103965	"VA-200"	143742.61
"43119"	2010	"cand113103"	"PURKEY, HARRY R (BOB)"	0.210043440498166	0.622180470160902	"VA"	200	0.547	0.602387739103965	"VA-200"	119499.09
"43120"	2012	"cand113103"	"PURKEY, HARRY R (BOB)"	0.259621415425111	0.733952311915852	"VA"	200	0.547	0.602387739103965	"VA-200"	38902.8
"43121"	2002	"cand113107"	"SHERWOOD, BEVERLY J"	0.0452976227559372	0.376652835792519	"VA"	200	0.75	0.505254206510349	"VA-200"	40289.09
"43122"	2004	"cand113107"	"SHERWOOD, BEVERLY J"	0.0435123494846642	0.76260668344249	"VA"	200	0.75	0.505254206510349	"VA-200"	36771.17
"43123"	2006	"cand113107"	"SHERWOOD, BEVERLY J"	0.152782947851416	0.790883193400765	"VA"	200	0.75	0.505254206510349	"VA-200"	45265.85
"43124"	2008	"cand113107"	"SHERWOOD, BEVERLY J"	0.141968581178809	0.78277739646701	"VA"	200	0.75	0.505254206510349	"VA-200"	46841.35
"43125"	2010	"cand113107"	"SHERWOOD, BEVERLY J"	0.155807834407434	0.769284552896685	"VA"	200	0.75	0.505254206510349	"VA-200"	66748.89
