""	"ind.contributions"	"high.median.prof"	"year"	"group.contributions"
"200"	0	0	2010	3000
"201"	0	0	2000	500
"202"	250	0	2004	15900
"203"	500	0	2006	250
"204"	2000	0	2008	23691.18
"205"	400	0	2000	8500
"206"	0	0	2004	14850
"207"	0	0	2006	5950
"208"	0	0	2008	5800
"209"	0	0	2010	2450
"210"	350	0	2012	4750
"211"	0	0	2000	300
"212"	0	0	2004	2400
"213"	0	0	2006	300
"214"	0	0	2008	1500
"215"	125	0	2010	950
"216"	3000	0	2012	8750
"217"	7200	0	1998	10800
"218"	17060	1	2000	25050
"219"	20950	1	2002	23050
"220"	10750	1	2004	37500
"221"	12077.09	1	2006	43950
"222"	17825	1	2008	49900
"223"	10889.78	1	2010	43450
"224"	2690.8	1	2012	18303.68
"225"	9750	1	1998	8350
"226"	20537	1	2000	28521.44
"227"	33453	1	2002	42276
"228"	48640.55	1	2004	72303.4
"229"	2302.06	1	2000	7975
"230"	18698.52	1	2002	21223
"231"	69214.89	1	2004	42048
"232"	24961.51	1	2006	53326.9
"233"	37184.83	1	2008	56674
"234"	30044.61	1	2010	72294.43
"235"	17362.57	1	2012	40001.55
"236"	21976.02	1	1998	16872
"237"	8270	1	2000	15474
"238"	5355	1	2002	8103.96
"239"	17280	1	2004	15350
"240"	72048	1	2000	95260
"241"	44129.31	1	2002	62975
"242"	51161.23	1	2004	91924
"243"	95038.03	1	2006	59605
"244"	51895	1	2000	35950
"245"	37430	1	2002	41079.16
"246"	61417.67	1	2004	49125
"247"	59000	1	2000	41572
"248"	31853	1	2002	38850
"249"	43090	1	2004	31115
"250"	19175	1	2006	25414.58
"251"	9140	1	2008	43850
"252"	23470	1	2000	11082
"253"	74650.71	1	2002	61758.84
"254"	82546.04	1	2004	193500.49
"255"	85195	1	2006	254290
"256"	9386.93	1	2000	15237.74
"257"	3952	1	2002	16000
"258"	1663	1	2004	11250
"259"	3950	1	2006	19500
"260"	1560	1	2008	53650
"261"	1000	1	2010	28450
"262"	0	1	2012	4900
"263"	5400.11	1	2004	8937.5
"264"	3230	1	2006	18201.46
"265"	1370	1	2008	14800
"266"	1510	1	2010	11350
"267"	0	1	2012	3500
"268"	0	0	2000	0
"269"	200	0	2002	310
"270"	22.36	0	2004	1550
"271"	412.31	0	2006	1030
"272"	978.84	0	2008	600
"273"	123.81	0	2010	2290
"274"	5525	1	1998	6700
"275"	2100	1	2000	10380.06
"276"	7525	1	2002	9300
"277"	1450	1	2004	7700
"278"	2150	1	2006	4670.96
"279"	25250	1	2008	16520
"280"	5655	1	1998	16687
"281"	5077.85	1	2000	26154.73
"282"	7558.33	1	2002	14625
"283"	7850	1	2004	18631.24
"284"	10950	1	2006	20881.08
"285"	10000	1	2008	17025
"286"	13300	1	2010	14725
"287"	200	1	1998	7250
"288"	852	1	2000	4550
"289"	0	1	2002	0
"290"	270.88	1	2004	2450
"291"	6775	1	1998	20931.57
"292"	11924.51	1	2000	34444.39
"293"	3515	1	2002	20630.09
"294"	4478.33	1	2004	15965
"295"	7510	1	1998	39825
"296"	6200	1	1998	11535
"297"	17930	1	2000	30312.75
"298"	8645	1	2002	19090.35
"299"	27730	1	2004	30677.8
"300"	24178	1	2006	24836.4
"301"	20763.66	1	2008	26925
"302"	500	1	1998	1250
"303"	5655.28	1	2000	8150
"304"	19939.79	1	2002	26067.13
"305"	7819.78	1	2004	26384.96
"306"	8.05	1	2006	6800
"307"	0	1	2008	5250
"308"	3000	1	2010	4500
"309"	10750	1	2012	12350
"310"	23330	1	1998	47276.82
"311"	12950	1	2000	32477.94
"312"	8975	1	2002	23250
"313"	21610	1	2004	42825
"314"	13600	1	2006	28264
"315"	9800	1	2008	30900
"316"	22850	1	2010	35400
"317"	113792.11	1	2012	43900
"318"	27040	1	1998	81525
"319"	7100	1	2000	22845.51
"320"	7350	1	2002	20700
"321"	11650	1	2004	23275
"322"	16200	1	2006	34783.95
"323"	15275	1	2008	29175
"324"	23301	1	2010	28819
"325"	22700	1	2012	18400
"326"	21007.19	1	1998	29657.82
"327"	16512.37	1	2000	29926.3
"328"	5.22	1	2002	0
"329"	9893.15	1	2004	14050
"330"	21167.53	1	2006	30184.36
"331"	30240	1	2008	21990.86
"332"	25975	1	2010	23175
"333"	55935	1	2012	17800
"334"	13935.77	1	1998	20525.44
"335"	7049.89	1	2000	23221.45
"336"	14349	1	2002	23772.1
"337"	16427.51	1	2004	32487.4
"338"	34158.46	1	2006	52148.66
"339"	3125	1	1998	11887.04
"340"	5750.97	1	2000	20399.75
"341"	2494.22	1	2002	13699.58
"342"	3000.49	1	2004	10150
"343"	4288.92	1	2006	20100
"344"	3425	1	2008	16450
"345"	12925	1	2010	14600
"346"	12610	1	2012	6200
"347"	7900	1	1998	5125
"348"	7110.3	1	2000	1481.51
"349"	10790	1	2002	9250
"350"	10200	1	2004	9475
"351"	9214.56	1	2006	8550
"352"	13000	1	2008	6600
"353"	11080	1	2010	3000
"354"	14310	1	2012	1950
"355"	26933.31	1	2006	4850
"356"	48450.82	1	2008	17275
"357"	36933	1	2010	11100
"358"	24670	1	2012	2760
"359"	0	0	1990	7950
"360"	30	0	1996	31089.3
"361"	5811	0	1998	13805
"362"	882.83	0	1996	15951
"363"	3468	0	1998	7968
"364"	18201	1	2002	18148.21
"365"	5893.1	1	2004	9161.64
"366"	2150	1	2006	8200
"367"	5605	1	2008	10775
"368"	40	0	1996	34706
"369"	4285	0	1998	15505
"370"	3305	0	1996	13341
"371"	3875	0	1998	11125
"372"	0	0	1996	11276
"373"	1735	0	1996	17322
"374"	3070	0	1998	15154
"375"	0	0	1996	14502
"376"	361.13	0	1996	16975.94
"377"	27290.39	1	2006	31350
"378"	937.97	0	1996	42201
"379"	10684	0	1998	14667
"380"	224.75	0	1996	11959
"381"	3107	0	1998	12088
"382"	1825	0	1992	2900
"383"	669	0	1994	2200
"384"	875	0	1996	1150
"385"	325	0	1998	425
"386"	275	0	2000	675
"387"	200	0	2002	975
"388"	4880	0	2004	6450
"389"	550	0	2006	6575
"390"	200	0	2008	9650
"391"	823	0	1992	0
"392"	3824.69	0	1994	500
"393"	1108	0	1996	350
"394"	214	0	1998	175
"395"	1693.27	0	2000	0
"396"	3344.5	0	2002	657.4
"397"	8780.73	0	2004	2900
"398"	0	0	1990	600
"399"	290	0	1992	1800
"400"	125	0	1994	475
"401"	100	0	1996	250
"402"	0	0	1998	925
"403"	0	0	2000	3601.32
"404"	200	0	2002	800
"405"	100	0	2004	3400
"406"	295	0	1990	550
"407"	1460	0	1992	1200
"408"	1385	0	1994	2600
"409"	320	0	1996	1600
"410"	475	0	1998	1675
"411"	0	0	2000	200
"412"	1070	0	2002	3450
"413"	1700	0	2004	5300
"414"	0	0	2006	2250
"415"	0	0	2008	2650
"416"	415	0	1994	1475
"417"	100	0	1998	2100
"418"	50	0	2000	4400.66
"419"	650	0	2002	4300
"420"	650	0	2004	4750
"421"	1869	0	1992	0
"422"	374	0	1994	2925
"423"	50	0	1996	1825
"424"	0	0	1998	150
"425"	50	0	2000	775
"426"	200	0	2002	875
"427"	685	0	2004	4100
"428"	0	0	2006	0
"429"	306	0	2008	6200
"430"	549	1	1990	13724
"431"	200	0	1992	3225
"432"	0	0	1994	1950
"433"	1700	0	1996	15800
"434"	1389.65	0	1998	3875
"435"	906.16	0	2000	14325
"436"	2356.22	0	2002	23171.13
"437"	1961.29	0	2004	27450
"438"	3385	0	2006	22350
"439"	950	0	2008	30100
"440"	800	0	2010	31000
"441"	0	0	1990	500
"442"	975	0	1996	8855
"443"	11031.72	0	1998	18550
"444"	3044.12	0	2000	24776
"445"	225	0	2006	11901
"446"	12150	0	2008	27051
"447"	12309.16	0	1996	7220
"448"	6559.8	0	1998	6125
"449"	18962.2	1	2000	9974
"450"	2805	1	2004	0
"451"	3220	1	2006	0
"452"	29325.75	0	1996	6875
"453"	25918	0	1998	7625
"454"	3111.5	1	2000	0
"455"	24632.24	0	2008	262270.01
"456"	17115.94	0	2010	308519.23
"457"	6923.75	0	2012	48497.19
"458"	34410	0	2004	87171
"459"	16364.56	0	2006	76171
"460"	138620.04	0	2008	83308.76
"461"	2025	0	1990	23748
"462"	5300	0	1992	72339.22
"463"	4730	0	1994	92239
"464"	6125	0	1996	7200
"465"	5141.75	0	1996	6800
"466"	17533.62	0	1998	6765
"467"	8979	0	1992	29442.11
"468"	3963	0	1994	35631.1
"469"	0	0	1990	4750
"470"	2350	0	1992	30561.82
"471"	1850	0	1994	29431.12
"472"	2705	0	1996	7625
"473"	15307	1	2004	10380
"474"	7496	1	2006	11750
"475"	3348.81	1	2008	0
"476"	18085	0	1992	33027.11
"477"	1540	0	1994	9275
"478"	12357	0	1994	31135
"479"	5387	0	1996	4700
"480"	3530	0	1998	12948
"481"	2020	0	2002	18508
"482"	8277.01	0	1992	57667.11
"483"	2070	0	1994	32378
"484"	2619	0	1996	6600
"485"	13029	0	1992	65060
"486"	17375	0	1994	90980.5
"487"	21624	0	1996	7200
"488"	17911.23	0	1996	7330
"489"	14625	1	2000	6500
"490"	18300	1	2008	3680
"491"	6068.8	0	1996	9781
"492"	6296.51	0	1998	7550
"493"	12507.61	1	2000	7608
"494"	17059.4	1	2004	6320
"495"	7377	1	2006	7866
"496"	20798.8	0	1996	7135
"497"	32407.27	0	1998	7675
"498"	32793.41	1	2000	7860
"499"	4458.12	0	1996	5865
"500"	545.16	1	1994	25047.5
"501"	1439.56	1	1996	29560.6
"502"	3220.23	1	1998	35650
"503"	4637	1	2000	44928
"504"	3736.99	1	2002	60950
"505"	72572.75	1	2004	55850
"506"	4500	1	2006	69725
"507"	7727.5	1	2008	87465
"508"	20191.8	1	2000	6496
"509"	9855	1	2002	5980
"510"	1275	1	2000	1225
"511"	2520	1	2002	0
"512"	4403.92	0	1996	2645
"513"	5265.19	0	1998	925
"514"	15850.42	0	1996	9539.26
"515"	28478.04	0	1998	7550
"516"	36946	1	2000	10568
"517"	29616	1	2004	5340
"518"	183178.27	1	2006	7547
"519"	203860.36	1	2008	12919
"520"	26492.22	1	2010	14630
"521"	17678.89	1	1992	7700
"522"	3085	1	1990	5000
"523"	1100	1	1990	18300
"524"	1130	1	1990	13270
"525"	4642.6	1	2010	7950
"526"	1485	1	1990	10840
"527"	3895	1	1994	1050
"528"	550	1	1990	21425
"529"	20219.81	1	1994	55123.57
"530"	7250	1	1996	24300
"531"	8600	1	1998	27003.58
"532"	19137	1	2000	59023
"533"	9038.45	1	2002	61515
"534"	17888.76	1	2004	57947.38
"535"	8556	1	1992	9053.98
"536"	8966.49	1	1994	15725
"537"	33553.5	1	1994	11680
"538"	2300	1	1996	16800
"539"	2795	1	1998	44225
"540"	96661	1	2000	129812
"541"	10626	1	2002	120620.13
"542"	14802.33	1	2004	104414.02
"543"	13778.79	1	2006	149175
"544"	14540	1	2008	157676
"545"	52012.28	1	2010	135936.46
"546"	17450	1	2012	103492.92
"547"	5930	1	1994	35775
"548"	4503	1	1992	12130
"549"	2880	1	1994	16280
"550"	6305	1	1992	40864
"551"	15738	1	1994	39350
"552"	21142.98	1	1996	55866.13
"553"	31556.09	1	1998	44619
"554"	41303	1	2000	54141
"555"	36456.98	1	2002	80895
"556"	43160.65	1	2004	91175.85
"557"	69309.03	1	2006	94430
"558"	53973.92	1	1992	36335.69
"559"	37210	1	1994	41703.14
"560"	41045	1	1998	44647
"561"	52324	1	2000	56367
"562"	53531.97	1	2002	53611.3
"563"	54322.68	1	2004	73039
"564"	57732.39	1	2006	72235
"565"	63929.53	1	2008	84775.41
"566"	133506.78	1	2010	86075
"567"	24062.22	1	1994	38919
"568"	13045	1	1996	59277.93
